speaker,label,prev,post,dur,f1_50,f2_50,f3_50,f1_25,f2_25,f3_25,f1_75,f2_75,f3_75
s14,ey,d,#,0.1143125,550.2822093,1944.462699,2785.323644,560.4418934,1910.69818,2796.191467,492.7122209,2061.967518,2768.241251
s04,ah,s,s,0.13425,712.9042135,1703.023098,2937.748375,659.316148,1786.150168,2919.224425,671.8988351,1764.258118,2955.224777
s15,ih,ch,s,0.0530625,405.2246784,1788.357694,2620.398049,,,,,,
s08,ah,s,t,0.0446875,693.4192004,1646.236639,2976.024889,,,,,,
s03,ih,z,z,0.187,457.5296973,1669.378896,2696.521655,448.4235177,1826.59295,2739.745914,454.5727015,1627.347113,2667.630757
s08,ah,s,d,0.0385625,522.5850338,1459.195211,2424.501175,,,,,,
s04,uw,t,#,0.063,492.9950842,1881.156169,2799.398252,,,,,,
s04,uw,d,#,0.076,442.2329188,1781.026397,2875.780948,,,,,,
s15,uh,g,d,0.074875,427.4872634,1596.64191,2309.581005,417.6839363,1633.223398,2267.250137,427.8865127,1569.599015,2356.845746
s15,ae,s,t,0.1110625,790.7929665,1630.054223,2438.889404,765.4313551,1674.361108,2508.812516,745.3673456,1592.937897,2463.070938
s04,ih,k,d,0.166375,591.9377414,2039.4631,2962.23957,590.6767816,2129.813779,2953.833707,569.500507,1915.719259,2967.086026
s08,ah,b,t,0.3246875,722.4119466,1925.297207,2959.991811,780.1399877,1702.840805,3025.896173,638.9916857,1143.93825,2034.391729
s01,ae,k,f,0.0750625,926.7929018,1755.077884,2805.350911,,,,,,
s01,eh,f,f,0.0584375,686.4020986,1991.656401,3105.025001,,,,,,
s14,ah,v,v,0.068875,500.4247912,1099.572284,2870.168974,,,,,,
s15,ah,z,z,0.04,505.1301702,1188.726095,2246.762916,,,,,,
s15,ih,s,t,0.08725,455.8165348,1722.128942,2308.592827,444.7336734,1657.216948,2212.515914,451.3922125,1801.573643,2579.186218
s08,ey,t,t,0.29,562.1811509,2567.481711,2968.796892,691.3843885,2484.563058,2931.567168,447.8244619,2600.556708,2890.011684
s03,ah,v,v,0.1568125,634.0605089,1242.933256,2365.866588,604.3293891,1234.153485,2354.911008,626.9834271,1200.158014,2346.588708
s15,ih,s,s,0.08,387.2416699,1636.273504,2500.220713,414.3923308,1633.168255,2496.939322,370.4499244,1589.603847,2480.986045
s01,uw,d,#,0.0670625,348.1557975,2274.600324,2999.140165,,,,,,
s04,uw,th,#,0.163,446.0173201,1657.752892,2334.98272,445.1695474,1748.254941,2451.834014,468.4653759,1469.997994,2452.81486
s03,ih,z,z,0.1244375,384.0219443,1724.470329,2762.976294,418.1867542,1662.576526,2651.344725,350.3483586,1687.74929,2702.778548
s14,ah,z,z,0.0741875,479.335806,1465.659195,2670.388794,484.8404673,1435.897826,2566.683801,462.393282,1475.036244,2723.917349
s08,uw,g,#,0.1260625,420.0084925,810.1243022,3005.835587,423.8826723,839.7647464,2808.156176,428.6723699,806.3767829,3042.704777
s08,iy,b,#,0.2108125,402.6974165,2686.751519,3116.268156,402.9602134,2588.347499,2867.064302,400.0169626,2617.842901,2840.787019
s15,iy,b,#,0.0535625,294.5737181,2209.24354,2674.194077,,,,,,
s14,ow,v,t,0.137,552.3263813,1309.480089,2650.485177,562.6035673,1382.31039,2588.619745,504.9459165,1167.265244,2676.856819
s03,ae,k,s,0.5451875,605.0624291,1860.240084,2920.405097,615.2310839,1769.385831,2940.803937,609.0122921,1613.846482,2888.983365
s06,ah,hh,v,0.0334375,384.2348263,1738.898133,2502.051324,,,,,,
s08,ih,z,z,0.05475,482.7584383,1710.09404,3030.103944,,,,,,
s15,iy,s,#,0.1190625,326.0330303,2238.99704,2707.879979,322.2690494,2241.382047,2716.405461,353.0440725,2184.502831,2623.241561
s01,ae,hh,v,0.08275,787.7822382,1882.256951,3049.489529,644.1329924,1911.558324,3018.116211,862.8992642,1951.286787,2947.989422
s14,uw,d,#,0.065,323.2172045,1061.93026,2511.042937,,,,,,
s14,ow,g,#,0.0885625,561.1348962,1661.899244,2624.202073,524.9055648,1682.507306,2558.881002,577.2170117,1682.905897,2666.948606
s01,uw,t,#,0.2975,592.677208,1272.058387,3088.671786,693.5810238,1902.714651,3008.109211,1052.958199,2955.635857,3182.281237
s01,iy,hh,#,0.073625,483.4268499,2607.973613,3228.124585,483.580156,2710.631904,3249.251575,449.6312151,2400.878576,3261.056655
s03,aw,t,t,0.1483125,675.220422,1298.044128,2180.227177,642.2310856,1365.530114,2220.110563,690.8715315,1204.804464,2187.206068
s04,uh,sh,d,0.155,566.4454557,1826.03548,2947.929456,530.2035068,1868.771447,2914.014942,523.0646187,1820.310094,2947.042719
s04,ae,hh,v,0.1,869.02388,1664.56312,2712.013571,884.1002521,1725.226701,2786.388464,837.6425654,1604.22562,2729.61779
s15,er,sh,#,0.102375,495.923748,1419.665524,1679.804789,445.8724718,1454.72308,1821.431549,529.4973012,1465.806203,1650.684226
s01,ah,s,#,0.08,372.9024218,1612.846649,2841.911509,494.8359734,1643.039038,2914.352092,393.3246794,1628.246977,2831.494582
s03,ah,b,t,0.10825,571.1715321,1299.775118,2327.290993,545.1752783,1225.061805,2322.579157,576.8839294,1372.238649,2366.06214
s04,ih,k,z,0.054,568.0324053,1556.511822,2877.984521,,,,,,
s04,aa,g,d,0.087,780.9562061,1229.539299,2317.183849,783.219223,1145.460472,2159.652412,820.5587226,1528.722791,2463.144889
s01,iy,hh,#,0.053,431.1653747,2586.99975,3207.802829,,,,,,
s14,ih,b,t,0.040625,386.2129901,1733.329138,2667.869503,,,,,,
s04,iy,hh,#,0.142,363.3232689,2671.009327,2994.907685,372.3497743,2758.878976,3055.50725,357.3407478,2472.666369,2905.504726
s04,uh,b,t,0.175,492.5692203,1579.944681,2964.518993,456.0435755,1676.852078,3138.3042,532.1801415,1774.238961,2915.381974
s03,ih,z,z,0.131,409.9952439,1677.079013,2858.589543,400.2178209,1679.135378,3005.428094,403.2078037,1575.588709,2752.945853
s08,ey,s,#,0.0788125,540.0789109,2063.272346,2868.287062,,,,,,
s15,aa,k,k,0.17325,768.609456,875.4822957,2481.878923,657.8527425,1038.902147,2700.078561,520.4996874,1698.066265,2927.405352
s08,ah,f,#,0.0423125,647.4904262,1165.911046,1750.026812,,,,,,
s08,aw,hh,#,0.07,855.6335109,1479.776476,2624.986468,,,,,,
s01,ah,v,v,0.046125,656.1191863,1659.752339,3073.604419,,,,,,
s15,ae,hh,v,0.2380625,734.2035585,1458.705796,2312.641123,728.5697268,1522.465823,2315.024366,701.3640196,1370.955199,2281.93797
s15,ih,s,s,0.2380625,420.2940772,1691.528559,2558.330957,431.4674341,1807.983409,2601.173777,382.5044176,1571.676047,2517.29644
s08,ae,hh,d,0.1,977.9542537,1820.060112,2935.750414,981.6212137,1729.406514,2901.610218,906.0059982,1805.758184,3047.707649
s15,er,f,s,0.139125,482.511144,1316.260983,1432.850999,519.2505989,1126.998185,1366.32472,450.0242385,1476.236545,1620.992727
s15,ih,g,b,0.06025,366.5950744,2030.884138,2748.945726,,,,,,
s04,iy,d,d,0.046,551.9344454,2397.682919,3030.448866,,,,,,
s06,ih,z,z,0.195625,416.0317838,2065.336689,2666.994244,408.3095516,1851.578137,2532.394963,406.834056,1789.38389,2786.762404
s15,iy,hh,#,0.06,309.6858928,2148.631999,2675.248083,,,,,,
s15,aw,hh,s,0.11,723.2179075,1164.14816,2021.634859,710.8037298,1251.92554,2086.571601,663.2934965,1094.193786,2164.596384
s04,iy,hh,#,0.133625,417.0595713,2384.805015,2766.293,431.7056076,2500.747161,2967.353209,387.9669681,1729.473616,2702.780137
s08,ow,p,s,0.1,680.4843425,1617.274082,1814.156335,668.8119042,1479.53636,2388.864352,672.0299229,1629.889502,3032.991623
s01,ah,f,f,0.134,463.7670244,1801.723079,2908.439628,520.054223,1796.769284,2991.290421,726.935856,1748.641417,2851.922002
s06,ih,z,z,0.0473125,406.1938722,1663.365066,2219.23748,,,,,,
s04,ah,s,s,0.212,724.6864944,1769.395122,2943.570479,687.0422166,1744.736223,3009.340788,709.9905399,1769.708451,2966.899895
s03,ih,z,z,0.171,467.8979075,1772.875591,2673.507217,472.4221597,1888.929846,2713.33181,424.2478559,1666.906811,2818.112921
s15,ah,b,t,0.099,235.379669,1733.047057,2430.689165,290.7527798,1297.7556,2330.227332,1370.595269,1747.754372,3653.439751
s14,ey,t,k,0.0690625,488.9178935,2132.285689,2776.514372,,,,,,
s01,uw,ch,z,0.17,502.8145057,1963.755286,2960.670434,483.1094857,2112.037475,2863.398989,540.6650137,2017.946645,3088.354005
s08,ey,t,k,0.1115,513.4681996,1782.786937,2246.860115,582.419059,2152.546778,2947.538147,477.6083035,1267.555907,2454.216556
s08,iy,hh,z,0.07,306.6443451,2210.454366,2745.307123,,,,,,
s15,ao,t,k,0.13,760.9931479,1104.46321,2436.435577,732.5230042,1071.707486,2439.678163,757.89424,1145.444603,2223.880025
s08,ah,p,p,0.08,648.9930149,1533.857762,2874.1422,637.994112,1545.918312,2889.699095,559.1242549,1412.007495,2796.870728
s15,aw,t,t,0.33,754.2164533,1159.374262,2388.154482,799.0542256,1377.427019,2433.866457,630.8841872,1075.713591,2402.654613
s08,ih,f,f,0.047,668.8545118,2039.69889,2993.081921,,,,,,
s08,ah,ch,s,0.117,773.1816466,1727.527212,2829.499674,706.6343231,1747.902904,2623.750884,801.4163457,1731.489333,2958.026536
s01,ae,hh,v,0.067125,820.5415771,1823.031081,2900.495746,,,,,,
s15,ih,s,t,0.06,397.5744714,1630.518925,2505.741156,,,,,,
s06,ow,k,ch,0.1259375,412.7598907,1048.679635,2537.029495,426.2263384,1160.83536,2481.03826,412.5862007,1256.625635,2748.571488
s04,ah,v,v,0.099,755.2498962,1577.028477,2666.677877,689.2319883,1527.00163,2768.255479,786.4399549,1574.170253,2640.919315
s08,ae,hh,d,0.05,868.8141466,1460.498119,1833.236778,,,,,,
s15,aa,d,#,0.105125,707.2326467,1479.127227,2170.40988,662.5803193,1611.108056,2181.215264,668.2047524,1429.735638,2195.295746
s01,ah,p,p,0.1421875,944.6979691,1379.002943,2400.869544,763.9981161,1739.788039,3096.167332,881.4902314,1540.452958,2963.219785
s15,aa,t,p,0.1,836.7752062,1248.358263,2475.775863,833.3618967,1253.692654,2508.831041,794.153477,1245.529564,2439.607762
s15,ih,z,z,0.0530625,362.5125665,1825.769067,2545.328087,,,,,,
s04,iy,sh,#,0.065,346.2859001,2683.409496,2847.786702,,,,,,
s15,eh,s,k,0.168,712.0369899,1808.489829,2554.934915,684.5643523,1824.984309,2427.635395,720.9978087,1706.849782,2275.861291
s04,uw,d,#,0.136,468.4577011,1850.455008,2741.407367,432.7987232,1852.137342,2745.865133,479.9327691,1760.958606,2712.483974
s15,aa,g,t,0.09,620.6895504,1532.25151,2111.261343,568.2637181,1562.025257,2039.194424,634.2001409,1552.359235,2183.249532
s04,iy,s,#,0.061,525.2024614,2361.55095,2960.414361,,,,,,
s03,ih,s,s,0.3800625,442.7960592,1827.939966,2649.347675,384.9287846,2032.405006,2832.513146,451.3902301,1376.141746,2515.09349
s08,aa,b,#,0.0998125,869.1787299,1501.03129,2799.360106,795.476493,1366.643357,2689.946085,912.8769191,1549.458026,2845.036522
s03,er,b,th,0.2079375,492.7406113,1224.277168,1263.430199,457.8062985,1190.663932,1242.825609,476.0000691,1054.548806,1271.706772
s04,iy,sh,#,0.1936875,343.0743517,2325.842707,3024.242933,377.9659366,2446.204994,3124.770773,373.3020738,2253.12611,2857.528764
s04,uw,d,#,0.238,537.6839975,1846.559557,2930.713043,495.6343168,1916.143598,2901.766427,609.2323716,1599.355754,3105.817679
s15,ih,d,s,0.04025,321.8631495,1825.095354,2830.645497,,,,,,
s04,eh,d,th,0.146,807.1135425,1902.017015,2942.346129,745.3641435,1926.768006,3033.58243,816.2709953,1824.969884,2924.988256
s14,eh,z,z,0.1215,687.3993059,1911.347498,2879.334795,670.6313068,1978.095669,2909.587289,666.7857763,1819.977577,2855.082846
s14,ih,hh,s,0.0819375,320.9292286,1866.7444,2799.396275,339.524884,1978.738779,2843.860159,313.5828597,1863.491689,2769.103348
s04,iy,sh,#,0.065,406.5809735,2415.460735,2983.564532,,,,,,
s15,ae,d,b,0.1651875,740.1733068,1645.211418,2238.977577,672.6809079,1692.043045,2284.310209,732.2761457,1603.957501,2305.442194
s14,ih,s,#,0.0360625,358.5041443,1623.170051,2895.101634,,,,,,
s15,ah,f,f,0.149625,610.1564561,1301.934474,2447.654102,607.7156899,1210.647032,2409.914814,605.3183268,1325.962442,2401.577908
s08,aa,g,t,0.0771875,649.3627043,1964.10002,2577.84752,,,,,,
s14,eh,b,s,0.114625,679.4064596,1724.888324,2855.417319,633.4308411,1777.657756,2813.607536,637.087495,1712.070737,3070.24688
s04,er,f,s,0.104875,523.8959709,1334.853094,1636.580394,456.7349306,1357.8221,1440.303741,459.991103,1421.829681,1767.5614
s08,iy,b,#,0.0745,420.9267681,2430.150718,2812.233919,421.9495088,2419.729605,2717.863289,444.3749041,2393.432837,2772.171796
s01,ah,s,#,0.087875,532.6468385,1692.743216,3157.621934,638.8997246,1705.355125,3099.432953,544.2000722,1671.274626,3174.992874
s01,ah,z,z,0.0765625,481.297756,1764.814405,3093.424028,,,,,,
s15,ay,d,d,0.067,584.5972027,1507.701585,2193.513866,,,,,,
s15,ih,v,v,0.029375,414.7114091,1507.133885,2582.01298,,,,,,
s08,er,f,f,0.0414375,501.486892,1316.628059,1783.041479,,,,,,
s03,ah,p,p,0.118625,618.2097342,1537.46077,2969.794001,541.3030233,1656.513656,2949.629159,633.5281867,1357.635557,2552.497543
s08,er,f,#,0.0328125,521.9324719,1294.152777,1753.69609,,,,,,
s04,ow,g,#,0.111,582.264718,1450.596954,2503.649996,525.3567224,1743.734458,2894.620531,587.9282058,1294.622682,2713.838088
s15,eh,f,f,0.020625,475.5030375,1597.318482,2348.107218,475.5030375,1597.318482,2348.107218,475.5030375,1597.318482,2348.107218
s01,uw,d,#,0.0685,454.20377,2365.815142,3070.379254,,,,,,
s04,ih,f,f,0.1865,530.1955004,1987.80641,2898.698213,481.1925729,1998.053381,2958.969847,563.8904159,1834.0592,2803.424072
s15,uw,sh,#,0.0900625,324.435636,2075.75363,2943.066368,332.4685304,2013.491923,2970.101171,322.2922487,2135.280482,2975.11372
s15,ae,f,hh,0.124125,855.3916932,1861.923208,2664.083915,694.1615,1704.408672,2434.288008,920.3364699,1881.897737,2647.052895
s08,ow,s,#,0.0804375,553.2642018,1395.108923,2766.606224,570.160491,1560.395544,2875.423045,507.7279016,1150.935223,2725.049095
s08,eh,t,t,0.06,436.214975,1814.914076,3022.427437,,,,,,
s01,ah,b,t,0.25,829.8570969,1323.940339,2426.273113,847.4556517,1620.783887,3103.801683,785.2432514,1837.41518,3159.843616
s14,ih,z,z,0.0473125,381.1474984,1667.628395,3011.794991,,,,,,
s06,ih,g,t,0.0891875,407.6178101,1826.803343,2708.011942,414.2295524,1906.825513,2703.272528,380.8407334,1663.152318,2632.879183
s15,uw,d,#,0.0700625,378.7593228,1659.903691,2512.720652,382.0827403,1758.066802,2507.796634,379.7605925,1632.763868,2473.998775
s08,er,hh,#,0.069125,431.6247929,1542.351941,1929.542265,,,,,,
s15,el,f,#,0.04675,471.4291011,823.1994738,2532.28348,,,,,,
s14,ah,v,v,0.041375,398.5702075,1486.640751,2938.302274,,,,,,
s04,iy,b,#,0.126,343.2455669,2442.529093,2763.507586,349.2041224,2583.873326,3060.068038,362.3247583,1877.908824,2561.452804
s06,ah,s,s,0.09475,1115.353191,2453.0312,3214.97621,307.2051791,1193.78959,2538.973003,392.2522354,1575.808838,2680.975317
s14,iy,ch,ch,0.1205,326.9588318,2234.72696,2344.611136,336.546391,2000.587571,2251.911722,314.6334059,2371.044685,2480.277882
s14,ae,t,k,0.1246875,960.4256796,1808.124144,2530.089564,941.8119781,1811.980371,2626.30406,952.7270954,1815.784852,2407.174432
s04,eh,b,s,0.135,688.0475684,1752.682492,3004.516506,661.1303385,1821.162621,2959.323075,616.5578687,1751.033352,2996.943624
s15,ih,t,b,0.0309375,333.8549806,1842.038767,2519.013935,,,,,,
s01,ah,v,v,0.038375,410.9816017,1625.222085,2778.535742,,,,,,
s08,er,f,#,0.08675,517.2143732,1354.186082,1722.452605,540.5707828,1349.348565,1597.669103,524.0246193,1481.852911,1819.407549
s14,iy,sh,#,0.038625,323.442103,2131.354028,2482.320428,,,,,,
s01,iy,hh,z,0.0661875,462.746484,2590.114269,3356.303903,,,,,,
s08,ae,v,v,0.1131875,860.7180655,1900.143136,2960.607886,797.2916669,1898.776504,3037.897194,843.5736129,1871.218343,2870.457183
s14,ae,hh,d,0.06075,696.5840356,1976.950854,3021.896139,,,,,,
s06,iy,b,#,0.0675625,336.3773755,2167.172048,2506.038052,,,,,,
s06,ah,b,t,0.1094375,521.9471864,1309.328803,2570.072069,492.534575,1215.106626,2521.105395,496.9841815,1429.823951,2524.877146
s08,ih,f,f,0.06,526.69549,1917.428301,2048.798413,,,,,,
s15,eh,s,#,0.050875,489.2343689,1524.901759,2298.309329,,,,,,
s04,ae,hh,v,0.035125,503.6774406,1726.006855,2747.394375,,,,,,
s03,iy,b,#,0.1006875,300.8430546,2146.364947,3035.611066,312.2114499,2105.12928,2956.266685,280.1644876,2183.749859,3082.770696
s06,ae,b,k,0.13275,581.0510902,1623.434749,2626.564902,576.6576025,1621.398894,2661.308108,545.6005129,1657.378021,2515.030339
s15,eh,p,p,0.152375,529.201233,1724.57984,2472.554265,515.2614227,1814.130022,2477.766221,496.7795479,1667.733611,2466.092963
s06,el,k,#,0.3524375,419.4381539,812.0319441,2901.336359,413.9987617,853.5744478,2701.975192,414.6126497,798.2522589,2737.148819
s03,eh,z,z,0.16475,372.5453475,1582.043891,2695.942463,399.2185249,1620.375198,2684.429911,337.3389989,1625.967533,2733.162121
s14,ae,hh,f,0.1,882.7815191,1681.853978,2694.081437,848.8314174,1813.591818,2776.059159,866.6027316,1570.666634,2643.870967
s15,ey,s,#,0.11,473.1419556,1823.060164,2529.406111,474.8777834,1739.716949,2520.297421,426.4573589,1867.780741,2497.531601
s08,ih,g,t,0.0661875,397.0038643,2133.493746,3111.015487,,,,,,
s08,er,b,th,0.0971875,506.1639459,1314.846213,1790.101837,505.1980085,1274.714769,1531.667745,498.2775068,1355.153481,1962.380727
s15,aw,hh,s,0.0964375,830.3113052,1199.801707,2188.038508,909.9122886,1306.191264,2256.617962,762.3241566,1161.518465,2166.836791
s15,ah,hh,#,0.0453125,555.0188573,1406.726329,2630.515904,,,,,,
s14,ow,s,#,0.328875,626.5194046,1343.723533,2597.81975,658.548127,1535.550561,2690.939536,506.5606394,1064.980846,2662.869635
s08,ay,t,p,0.0630625,886.3098161,1882.457785,2734.810372,,,,,,
s14,iy,b,#,0.06,347.6568734,2176.199869,2539.369271,,,,,,
s15,ah,s,#,0.190625,475.414923,1276.775177,2228.722616,447.13531,1332.489882,2213.186739,408.0585527,1242.174558,2258.393165
s01,er,f,#,0.0596875,544.7659186,1422.35909,1755.516429,,,,,,
s14,uh,t,k,0.0564375,456.359789,1491.328899,2423.029387,,,,,,
s04,iy,sh,#,0.056,400.9135206,1095.151775,2685.241315,,,,,,
s01,aw,hh,s,0.1416875,775.7214841,1371.092863,1830.746568,732.3118072,1563.607438,2048.371159,973.8567942,1256.97141,2787.509031
s04,ah,t,f,0.169,761.9981409,1629.493749,2849.650665,746.6907874,1676.384937,2871.857437,679.3092753,1610.244985,2819.854205
s04,ao,t,k,0.094,800.0009432,1138.368717,2715.428517,724.0178139,1001.08437,2675.340401,779.8563711,1131.704459,2628.044356
s14,ay,s,d,0.3253125,786.4096341,1391.961306,2739.214013,747.0741328,1310.656972,2690.323279,707.503397,1710.822188,2700.051785
s14,ih,b,g,0.0681875,444.9084483,1873.503112,2549.308746,,,,,,
s03,ah,b,#,0.094625,513.5889994,1264.248738,2480.585676,462.2623621,1227.672555,2370.711823,537.3279003,1340.20151,2657.249961
s08,ah,d,z,0.1420625,694.4605559,1254.762701,1813.016882,616.5736285,1730.692339,1892.356151,660.0844556,1087.279664,1813.529588
s08,ah,f,#,0.059875,531.9509153,1699.600757,2868.059497,,,,,,
s15,iy,d,#,0.0916875,321.9201716,2348.563856,2641.544936,321.0692931,2306.909491,2851.455293,333.9375838,2351.386641,2666.2833
s14,iy,t,#,0.0779375,329.853042,2414.665724,2831.453981,,,,,,
