f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label,prev,post
-1.214107936,0.309045804,-0.061242674,-0.589161413,-1.214107936,0.309045804,-0.061242674,-0.589161413,s01,uw,d,#
-0.3180705,0.97154084,0.597641824,-0.483821682,-0.3180705,0.97154084,0.597641824,-0.483821682,s01,iy,hh,#
-1.050185934,-1.006022136,-0.513655655,-0.381491657,-1.050185934,-1.006022136,-0.513655655,-0.381491657,s01,ah,s,#
-0.664251279,0.929860596,0.539167584,-0.81488941,-0.664251279,0.929860596,0.539167584,-0.81488941,s01,iy,hh,#
-0.448297473,-0.630678036,-0.322226272,0.485303849,-0.448297473,-0.630678036,-0.322226272,0.485303849,s01,ah,f,f
-0.189646383,-0.308680035,-0.171936272,1.063167519,-0.189646383,-0.308680035,-0.171936272,1.063167519,s01,uw,ch,z
2.737396163,-1.470727317,-1.782718913,0.616727705,2.737396163,-1.470727317,-1.782718913,0.616727705,s01,ah,p,p
0.007963427,-0.847247931,0.394776041,-0.255083979,0.007963427,-0.847247931,0.394776041,-0.255083979,s01,ah,s,#
-0.332173649,-0.704024684,0.21005166,-0.436669612,-0.332173649,-0.704024684,0.21005166,-0.436669612,s01,ah,z,z
-0.51164461,0.490312169,0.143742152,-0.566086996,-0.51164461,0.490312169,0.143742152,-0.566086996,s01,uw,d,#
1.97668854,-1.580150306,-1.709622159,2.347309009,1.97668854,-1.580150306,-1.709622159,2.347309009,s01,ah,b,t
-0.455057547,0.936049914,0.966467641,-0.603206711,-0.455057547,0.936049914,0.966467641,-0.603206711,s01,iy,hh,z
1.44350662,-0.312368403,0.517636274,1.897859488,1.44350662,-0.312368403,0.517636274,1.897859488,s01,ah,b,t
0.950291474,-1.252365312,1.074211449,1.577827351,0.950291474,-1.252365312,1.074211449,1.577827351,s01,ah,p,p
0.861074557,-0.980957092,-0.316837583,-0.751685571,0.861074557,-0.980957092,-0.316837583,-0.751685571,s01,ah,s,#
-1.025419175,-1.100466055,0.14716089,-0.642332897,-1.025419175,-1.100466055,0.14716089,-0.642332897,s01,uw,t,#
0.845547164,-0.087212945,-0.603514711,-0.67543967,0.845547164,-0.087212945,-0.603514711,-0.67543967,s01,ah,v,v
0.982010508,-0.954567491,0.038208566,-0.567090232,0.982010508,-0.954567491,0.038208566,-0.567090232,s01,ah,s,#
1.945824826,-0.398413221,0.129427119,1.687180025,1.945824826,-0.398413221,0.129427119,1.687180025,s01,ah,b,t
-0.25723441,0.878953347,0.784323357,0.146210237,-0.25723441,0.878953347,0.784323357,0.146210237,s01,iy,z,z
-0.694639493,0.101614636,0.175421287,-0.25709045,-0.694639493,0.101614636,0.175421287,-0.25709045,s01,ah,s,s
0.477565203,-0.809623262,-2.339452455,-0.542009343,0.477565203,-0.809623262,-2.339452455,-0.542009343,s01,ah,b,t
-1.340203956,-0.353793385,-0.617428979,1.211646379,-1.340203956,-0.353793385,-0.617428979,1.211646379,s01,uw,t,#
-0.676329897,1.119920869,0.371278785,-0.542009343,-0.676329897,1.119920869,0.371278785,-0.542009343,s01,iy,hh,#
-0.902669164,1.028124711,-0.790729122,0.848475114,-0.902669164,1.028124711,-0.790729122,0.848475114,s01,iy,sh,#
-0.817638379,1.247835547,0.499101703,-0.220973971,-0.817638379,1.247835547,0.499101703,-0.220973971,s01,iy,hh,#
-0.665913225,1.303674403,0.946796471,-0.707543207,-0.665913225,1.303674403,0.946796471,-0.707543207,s01,iy,p,#
-0.105161799,-1.119137625,-2.949858222,-0.588158178,-0.105161799,-1.119137625,-2.949858222,-0.588158178,s01,ah,z,z
1.0340018,-0.184278655,0.772224891,-0.060456284,1.0340018,-0.184278655,0.772224891,-0.060456284,s01,iy,b,#
0.346421668,-0.730028569,-0.238121606,0.373944704,0.346421668,-0.730028569,-0.238121606,0.373944704,s01,ah,v,v
-0.943899354,1.005860343,0.251971231,-0.679452612,-0.943899354,1.005860343,0.251971231,-0.679452612,s01,iy,b,#
1.169197392,-0.616654255,0.686623618,0.345854109,1.169197392,-0.616654255,0.686623618,0.345854109,s01,ah,f,f
0.859094112,-0.742277396,-0.47343414,-0.765730868,0.859094112,-0.742277396,-0.47343414,-0.765730868,s01,ah,f,f
-0.628136845,0.681111496,0.326534146,-0.307252227,-0.628136845,0.681111496,0.326534146,-0.307252227,s01,iy,b,#
-1.496209454,1.665778333,1.220065637,0.581614461,-1.496209454,1.665778333,1.220065637,0.581614461,s01,iy,hh,#
-0.483671663,1.085986023,0.063618193,-0.339355764,-0.483671663,1.085986023,0.063618193,-0.339355764,s01,iy,hh,z
-1.423659688,0.612198435,-0.200954415,-0.604209947,-1.423659688,0.612198435,-0.200954415,-0.604209947,s01,iy,b,#
-0.65734409,0.408170478,-0.017100152,-0.381491657,-0.65734409,0.408170478,-0.017100152,-0.381491657,s01,iy,sh,z
0.313518003,-0.522420833,0.404598266,-0.500876686,0.313518003,-0.522420833,0.404598266,-0.500876686,s01,ah,z,z
0.693974293,-1.018245577,1.374618739,-0.463756971,0.693974293,-1.018245577,1.374618739,-0.463756971,s01,ah,s,s
1.737144647,-0.133162094,0.428529342,0.986921618,1.737144647,-0.133162094,0.428529342,0.986921618,s01,ah,b,t
-0.068865404,-0.705505203,-0.888239478,2.252001633,-0.068865404,-0.705505203,-0.888239478,2.252001633,s01,uw,t,#
-0.846145476,0.459705202,0.60628414,-0.660391137,-0.846145476,0.459705202,0.60628414,-0.660391137,s01,iy,sh,z
-0.058619615,-0.246629735,0.249750095,-0.306248991,-0.058619615,-0.246629735,0.249750095,-0.306248991,s01,uw,d,#
-0.884253025,0.9328328,0.2796058,-0.224986913,-0.884253025,0.9328328,0.2796058,-0.224986913,s01,iy,b,#
-0.400597691,-1.405511785,-2.181612785,-0.73162086,-0.400597691,-1.405511785,-2.181612785,-0.73162086,s01,uw,ch,#
0.639475388,2.09011866,1.291647501,-0.424630785,0.639475388,2.09011866,1.291647501,-0.424630785,s01,iy,hh,#
-0.966803238,1.232608661,0.769658534,0.063944923,-0.966803238,1.232608661,0.769658534,0.063944923,s01,iy,b,#
-0.587516729,0.773942861,-0.006696665,-0.483821682,-0.587516729,0.773942861,-0.006696665,-0.483821682,s01,iy,ch,z
-1.313919004,1.207336123,0.336334027,-0.565083761,-1.313919004,1.207336123,0.336334027,-0.565083761,s01,iy,hh,#
-0.788231844,0.013698988,-0.432936787,0.859510705,-0.788231844,0.013698988,-0.432936787,0.859510705,s01,uw,ch,z
-0.192225102,2.003648283,1.661555826,-0.381491657,-0.192225102,2.003648283,1.661555826,-0.381491657,s01,iy,hh,#
1.018251713,-0.970522182,0.107173827,0.139187588,1.018251713,-0.970522182,0.107173827,0.139187588,s01,ah,v,v
-0.987861355,0.884647154,0.189444002,-0.641329661,-0.987861355,0.884647154,0.189444002,-0.641329661,s01,iy,hh,#
-0.475793836,0.348627933,-0.018852547,1.112326061,-0.475793836,0.348627933,-0.018852547,1.112326061,s01,uw,d,#
-1.388317561,-0.786055643,0.570802701,-0.674436434,-1.388317561,-0.786055643,0.570802701,-0.674436434,s01,uw,hh,#
2.699174682,-0.423961811,0.571101078,1.401257896,2.699174682,-0.423961811,0.571101078,1.401257896,s01,ah,b,t
0.41555709,-0.894189119,-0.936122339,0.600675936,0.41555709,-0.894189119,-0.936122339,0.600675936,s01,ah,f,f
-0.968761098,-1.10809513,-0.101103663,-0.319291053,-0.968761098,-1.10809513,-0.101103663,-0.319291053,s01,ah,z,z
-0.856145265,0.386649618,0.097912075,-0.653368488,-0.856145265,0.386649618,0.097912075,-0.653368488,s01,iy,hh,z
-0.904046968,0.500247284,0.029907288,1.063167519,-0.904046968,0.500247284,0.029907288,1.063167519,s01,iy,ch,#
0.511973638,-0.612708916,-0.285715628,0.985918383,0.511973638,-0.612708916,-0.285715628,0.985918383,s01,ah,g,s
0.386322639,-1.445539018,-1.780887259,-0.587154942,0.386322639,-1.445539018,-1.780887259,-0.587154942,s01,ah,f,f
-0.908250697,1.308491881,0.581809166,-0.220973971,-0.908250697,1.308491881,0.581809166,-0.220973971,s01,iy,hh,z
0.769599135,-0.702892202,0.59966373,-0.702527029,0.769599135,-0.702892202,0.59966373,-0.702527029,s01,ah,t,t
-0.476499501,0.749272149,0.286902781,0.260579088,-0.476499501,0.749272149,0.286902781,0.260579088,s01,iy,sh,s
-0.019793864,0.845156607,0.42363137,-0.678449376,-0.019793864,0.845156607,0.42363137,-0.678449376,s01,iy,hh,z
1.018292132,-0.080357345,0.105172385,-0.542009343,1.018292132,-0.080357345,0.105172385,-0.542009343,s01,ah,v,v
-0.697265431,1.596262463,1.677888106,-0.765730868,-0.697265431,1.596262463,1.677888106,-0.765730868,s01,iy,hh,#
-1.028376996,0.426551409,-0.571730668,-0.054436871,-1.028376996,0.426551409,-0.571730668,-0.054436871,s01,uw,hh,z
0.937992647,-0.889169477,0.463574884,-0.845989711,0.937992647,-0.889169477,0.463574884,-0.845989711,s01,ah,v,v
-0.72846512,-0.264094813,0.012885207,-0.381491657,-0.72846512,-0.264094813,0.012885207,-0.381491657,s01,iy,b,#
-0.73908728,0.736745518,0.471710739,-0.542009343,-0.73908728,0.736745518,0.471710739,-0.542009343,s01,iy,sh,z
-0.241480522,-0.377972898,-0.934214393,0.492326498,-0.241480522,-0.377972898,-0.934214393,0.492326498,s01,uw,t,#
-1.797857012,-1.502490799,-0.123643952,-0.198902789,-1.797857012,-1.502490799,-0.123643952,-0.198902789,s01,uw,t,#
-1.045272413,1.450539921,0.823806313,0.62676006,-1.045272413,1.450539921,0.823806313,0.62676006,s01,iy,p,#
-1.394580845,0.843503249,0.405506949,0.042876976,-1.394580845,0.843503249,0.405506949,0.042876976,s01,iy,s,#
1.168578721,-0.783563128,-0.814260355,-0.838967063,1.168578721,-0.783563128,-0.814260355,-0.838967063,s01,ah,v,v
1.618440335,-0.868676724,0.623894956,-0.53598993,1.618440335,-0.868676724,0.623894956,-0.53598993,s01,ah,v,v
-0.474205057,1.708316255,1.49241136,-0.107608355,-0.474205057,1.708316255,1.49241136,-0.107608355,s01,iy,hh,#
0.713024857,-0.838050466,0.244613465,-0.751685571,0.713024857,-0.838050466,0.244613465,-0.751685571,s01,ah,b,#
-0.391668492,1.14338114,1.008779012,-0.533983459,-0.391668492,1.14338114,1.008779012,-0.533983459,s01,iy,b,#
-0.497622651,1.22162129,0.700417092,-0.140715127,-0.497622651,1.22162129,0.700417092,-0.140715127,s01,iy,hh,s
0.048143254,-1.329591364,-0.008136604,-0.738643509,0.048143254,-1.329591364,-0.008136604,-0.738643509,s01,uw,t,#
-0.859291261,0.45048625,0.210942216,-0.542009343,-0.859291261,0.45048625,0.210942216,-0.542009343,s01,iy,sh,z
0.414335578,-0.102911735,0.865721182,-0.577122587,0.414335578,-0.102911735,0.865721182,-0.577122587,s01,ah,z,z
1.442497179,-1.357717174,1.281666793,-0.406572545,1.442497179,-1.357717174,1.281666793,-0.406572545,s01,ah,v,v
0.178904031,-1.057014771,-2.977481264,-0.457737558,0.178904031,-1.057014771,-2.977481264,-0.457737558,s01,ah,f,f
0.315987299,-0.111166373,0.483685481,-0.337349293,0.315987299,-0.111166373,0.483685481,-0.337349293,s01,ah,t,t
-0.291683536,-1.146887412,-0.498295895,-0.381491657,-0.291683536,-1.146887412,-0.498295895,-0.381491657,s01,ah,s,t
-0.356992368,1.795761792,1.508069895,1.220675499,-0.356992368,1.795761792,1.508069895,1.220675499,s01,iy,hh,#
